Supplier_Name,OTIF_Score,Price_Index,Region
Nordic_Wood_AB,98,102,Europe
Silesia_Fittings,95,94,Europe
Asian_Steel_Works,82,108,Asia
Baltic_Boards,91,98,Europe
Guangzhou_Plastics,78,90,Asia
Euro_Glass_GmbH,96,105,Europe
Vietnam_Textiles,84,88,Asia
Iberia_Ceramics,89,101,Europe
Tech_Components_Shenzhen,75,112,Asia
Alpine_Timber,97,104,Europe
Warsaw_Logistics_Hub,94,95,Europe
Mumbai_Fabrics,81,89,Asia
Bavarian_Metals,93,107,Europe
Shanghai_Fasteners,86,96,Asia
Trans_Carpathian_Wood,90,92,Europe
Jakarta_Rattan,79,85,Asia
Scandi_Design_Co,99,110,Europe
Kuala_Lumpur_Rubber,85,94,Asia
Milan_Leather_Works,92,115,Europe
Bangkok_Synthetics,83,91,Asia
Czech_Molding_SRO,94,97,Europe
Seoul_Electronics,88,103,Asia
Porto_Cork_Inc,95,100,Europe
Taiwan_Screws_Ltd,87,93,Asia
Lyon_Chemicals,91,106,Europe
Delhi_Weavers,76,86,Asia
Oslo_Pine_Corp,98,108,Europe
Manila_Packaging,84,90,Asia
Krakow_Assembly,96,96,Europe
Osaka_Alloys,89,102,Asia
Rotterdam_Paints,93,104,Europe
Ho_Chi_Minh_Metals,80,88,Asia
Stockholm_Veneers,97,109,Europe
Beijing_Hardware,82,95,Asia
Budapest_Frames,92,93,Europe
Chennai_Cottons,77,84,Asia
Hamburg_Adhesives,95,101,Europe
Kyoto_Smart_Parts,90,105,Asia
Lisbon_Textiles,88,99,Europe
Dhaka_Jute_Mills,74,82,Asia